CODIGO_SCIAN,DESCRIPCION
3131,"Preparación e hilado de fibras textiles, y fabricación de hilos"
313112,Preparación e hilado de fibras blandas naturales
313113,Fabricación de hilos para coser y bordar
3132,Fabricación de telas
313210,Fabricación de telas anchas de trama
313220,Fabricación de telas angostas de trama y pasamanería
313230,Fabricación de telas no tejidas (comprimidas)
313240,Fabricación de telas de punto
3133,Acabado de productos textiles y fabricación de telas recubiertas
313310,Acabado de productos textiles
313320,Fabricación de telas recubiertas
314,"Fabricación de productos textiles, excepto prendas de vestir"
3141,"Confección de alfombras, blancos y similares"
314110,Fabricación de alfombras y tapetes
314120,"Confección de cortinas, blancos y similares"
3149,"Fabricación de otros productos textiles, excepto prendas de vestir"
314911,Confección de costales
314912,Confección de productos de textiles recubiertos y de materiales sucedáneos
314992,Fabricación de redes y otros productos de cordelería
314993,Fabricación de productos textiles reciclados
314999,Fabricación de banderas y otros productos textiles no clasificados en  otra parte
315,Fabricación de prendas de vestir
3151,Fabricación de prendas de vestir de punto
315110,Fabricación de calcetines y medias de punto
315191,Fabricación de ropa interior de punto
315192,Fabricación de ropa exterior de punto
3152,Confección de prendas de vestir
315221,Confección en serie de ropa interior y de dormir
315222,Confección en serie de camisas
315223,Confección en serie de uniformes
315229,Confección en serie de otra ropa exterior de materiales textiles
3159,Confección de accesorios de vestir y otras prendas de vestir no clasificados en otra parte
315991,Confección de sombreros y gorras
315999,Confección de otros accesorios y prendas de vestir no clasificados en otra parte
316,"Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos"
3161,Curtido y acabado de cuero y piel
316110,Curtido y acabado de cuero y piel
3162,Fabricación de calzado
316211,Fabricación de calzado con corte de piel y cuero
316212,Fabricación de calzado con corte de tela
316213,Fabricación de calzado de plástico
3169,"Fabricación de otros productos de cuero, piel y materiales sucedáneos"
316991,"Fabricación de bolsos de mano, maletas y similares"
316999,"Fabricación de otros productos de cuero, piel y materiales sucedáneos"
321,Industria de la madera
3211,Aserrado y conservación de la madera
321111,Aserraderos integrados
321112,Aserrado de tablas y tablones
321113,Tratamiento de la madera y fabricación de postes y durmientes
3212,Fabricación de laminados y aglutinados de madera
321210,Fabricación de laminados y aglutinados de madera
3219,Fabricación de otros productos de madera
321910,Fabricación de productos de madera para la construcción
321920,Fabricación de productos para embalaje y envases de madera
321993,Fabricación de productos de madera  de uso industrial
322,Industria del papel
3221,"Fabricación de pulpa, papel y cartón"
322122,Fabricación de papel a partir de pulpa
322132,Fabricación de cartón y cartoncillo a partir de pulpa
3222,Fabricación de productos de cartón y papel
322210,Fabricación de envases de cartón
322220,Fabricación de bolsas de papel y productos celulósicos recubiertos y tratados
322230,Fabricación de productos de papelería
322291,Fabricación de pañales desechables y productos sanitarios
322299,Fabricación de otros productos de cartón y papel
323,Impresión e industrias conexas
3231,Impresión e industrias conexas
323111,"Impresión de libros, periódicos y revistas"
323119,Impresión de formas continuas y otros impresos
324,Fabricación de productos derivados del petróleo y del carbón
3241,Fabricación de productos derivados del petróleo y del carbón
324110,Refinación de petróleo
324120,Fabricación de productos de asfalto
324191,Fabricación de aceites y grasas lubricantes
325,Industria química
3251,Fabricación de productos químicos básicos
325110,Fabricación de petroquímicos básicos del gas natural  y del petróleo refinado
325120,Fabricación de gases industriales
325130,Fabricación de pigmentos y colorantes sintéticos
325180,Fabricación de otros productos químicos básicos inorgánicos
325190,Fabricación de otros productos químicos básicos orgánicos
3252,"Fabricación de resinas y hules sintéticos, y fibras químicas"
325211,Fabricación de resinas sintéticas
325212,Fabricación de hules sintéticos
325220,Fabricación de fibras químicas
3253,"Fabricación de fertilizantes, pesticidas y otros agroquímicos"
325310,Fabricación de fertilizantes
325320,"Fabricación de pesticidas y otros agroquímicos, excepto fertilizantes"
3254,Fabricación de productos farmacéuticos
325411,Fabricación de materias primas para la industria farmacéutica
325412,Fabricación de preparaciones farmacéuticas
3255,"Fabricación de pinturas, recubrimientos y adhesivos"
325510,Fabricación de pinturas y recubrimientos
325520,Fabricación de adhesivos
3256,"Fabricación de jabones, limpiadores y preparaciones de tocador"
325610,"Fabricación de jabones, limpiadores y dentífricos"
325620,"Fabricación de cosméticos, perfumes y otras preparaciones de tocador"
3259,Fabricación de otros productos químicos
325910,Fabricación de tintas para impresión
325991,Fabricación de cerillos
325992,"Fabricación de películas, placas y papel fotosensible para fotografía"
325999,Fabricación de otros productos químicos
326,Industria del plástico y del hule
3261,Fabricación de productos de plástico
326110,Fabricación de bolsas y películas de plástico flexible
326120,"Fabricación de tubería y conexiones, y tubos para embalaje"
326130,Fabricación de laminados de plástico rígido
326140,Fabricación de espumas y productos de poliestireno
326150,Fabricación de espumas y productos  de uretano
326160,Fabricación de botellas de plástico
326191,Fabricación de productos de plástico para el hogar con y sin reforzamiento
326192,Fabricación de autopartes de plástico con y sin reforzamiento
326193,Fabricación de envases y contenedores de plástico para embalaje con y sin reforzamiento
326194,Fabricación de otros productos de plástico de uso industrial sin reforzamiento
326198,Fabricación de otros productos de plástico con reforzamiento
326199,Fabricación de otros productos de plástico sin reforzamiento
3262,Fabricación de productos de hule
326211,Fabricación de llantas y cámaras
326220,Fabricación de bandas y mangueras de hule y de plástico
326290,Fabricación de otros productos de hule
327,Fabricación de productos a base de minerales no metálicos
3271,Fabricación de productos a base de arcillas y minerales refractarios
327112,Fabricación de muebles de baño
327121,Fabricación de ladrillos no refractarios
327122,Fabricación de azulejos y losetas no refractarias
327123,Fabricación de productos refractarios
3272,Fabricación de vidrio y productos de vidrio
327211,Fabricación de vidrio
327213,Fabricación de envases y ampolletas de vidrio
327214,Fabricación de fibra de vidrio
327215,Fabricación de artículos de vidrio de uso doméstico
327219,Fabricación de otros productos de vidrio
3273,Fabricación de cemento y productos de concreto
327310,Fabricación de cemento y productos a base de cemento en plantas integradas
327320,Fabricación de concreto
327330,Fabricación de tubos y bloques de cemento y concreto
327391,Fabricación de productos preesforzados de concreto
3274,"Fabricación de cal, yeso y productos de yeso"
327410,Fabricación de cal
327420,Fabricación de yeso y productos de yeso
3279,Fabricación de otros productos a base de minerales no metálicos
327910,Fabricación de productos abrasivos
327991,Fabricación de productos a base de piedras de cantera
327999,Fabricación de otros productos a base de minerales no metálicos
331,Industrias metálicas básicas
3311,Industria básica del hierro y del acero
331111,Complejos siderúrgicos
331112,Fabricación de desbastes primarios y ferroaleaciones
3312,Fabricación de productos de hierro y acero
331210,Fabricación de tubos y postes de hierro y acero
331220,Fabricación de otros productos de hierro y acero
3313,Industria básica del aluminio
331310,Industria básica del aluminio
3314,"Industrias de metales no ferrosos, excepto aluminio"
331411,Fundición y refinación de cobre
331412,Fundición y refinación de metales preciosos
331419,Fundición y refinación de otros metales no ferrosos
331420,Laminación secundaria de cobre
3315,Moldeo por fundición de piezas metálicas
331510,Moldeo por fundición de piezas de hierro y acero
331520,Moldeo por fundición de piezas metálicas no ferrosas
332,Fabricación de productos metálicos
3321,Fabricación de productos metálicos forjados y troquelados
332110,Fabricación de productos metálicos forjados y troquelados
3322,Fabricación de herramientas de mano sin motor y utensilios de cocina metálicos
332211,Fabricación de herramientas de mano metálicas sin motor
332212,Fabricación de utensilios de cocina metálicos
3323,Fabricación de estructuras metálicas y productos de herrería
332310,Fabricación de estructuras metálicas
332320,Fabricación de productos de herrería
3324,"Fabricación de calderas, tanques y envases metálicos"
332410,Fabricación de calderas industriales
332420,Fabricación de tanques metálicos de calibre grueso
332430,Fabricación de envases metálicos de calibre ligero
3325,Fabricación de herrajes y cerraduras
332510,Fabricación de herrajes y cerraduras
3326,"Fabricación de alambre, productos de alambre y resortes"
332610,"Fabricación de alambre, productos de alambre y resortes"
3327,Maquinado de piezas metálicas y fabricación de tornillos
332720,"Fabricación de tornillos, tuercas, remaches y similares"
3328,Recubrimientos y terminados metálicos
332810,Recubrimientos y terminados metálicos
3329,Fabricación de otros productos metálicos
332910,Fabricación de válvulas metálicas
332991,Fabricación de baleros y rodamientos
332999,Fabricación de otros productos metálicos
333,Fabricación de maquinaria y equipo
3331,"Fabricación de maquinaria y equipo agropecuario, para la construcción y para la industria extractiva"
333111,Fabricación de maquinaria y equipo agrícola
333112,Fabricación de maquinaria y equipo pecuario
333120,Fabricación de maquinaria y equipo para la construcción
333130,Fabricación de maquinaria y equipo para la industria extractiva
3332,"Fabricación de maquinaria y equipo para las industrias manufactureras, excepto la metalmecánica"
333220,Fabricación de maquinaria y equipo para la industria del hule y del plástico
333291,Fabricación de maquinaria y equipo para la industria alimentaria y de las bebidas
333292,Fabricación de maquinaria y equipo para la industria textil
333299,Fabricación de maquinaria y equipo para otras industrias manufactureras
3333,Fabricación de maquinaria y equipo para el comercio y los servicios
333319,Fabricación de otra maquinaria y equipo para el comercio y los servicios
3334,"Fabricación de equipo de aire acondicionado, calefacción, y de refrigeración industrial y comercial"
333411,Fabricación de equipo de aire acondicionado y calefacción
333412,Fabricación de equipo de refrigeración industrial y comercial
3335,Fabricación de maquinaria y equipo para la industria metalmecánica
333510,Fabricación de maquinaria y equipo para la industria metalmecánica
3336,"Fabricación de motores de combustión interna, turbinas y transmisiones"
333610,"Fabricación de motores de combustión interna, turbinas y transmisiones"
3339,Fabricación de otra maquinaria y equipo para la industria en general
333910,Fabricación de bombas y sistemas de bombeo
333920,Fabricación de maquinaria y equipo para levantar y trasladar
333991,Fabricación de equipo para soldar y soldaduras
333992,Fabricación de maquinaria y equipo para envasar y empacar
333999,Fabricación de otra maquinaria y equipo para la industria en general
334,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos"
3341,Fabricación de computadoras y equipo periférico
334110,Fabricación de computadoras y equipo periférico
3342,Fabricación de equipo de comunicación
334210,Fabricación de equipo telefónico
334220,"Fabricación de equipos de transmisión y recepción de señales de radio y televisión, y equipo de comunicación inalámbrico"
334290,Fabricación de otros equipos de comunicación
3343,Fabricación de equipo de audio y de video
334310,Fabricación de equipo de audio y de video
3344,Fabricación de componentes electrónicos
334410,Fabricación de componentes electrónicos
3345,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico"
334519,"Fabricación de otros instrumentos de medición, control, navegación y equipo médico electrónico"
3346,Fabricación y reproducción de medios magnéticos y ópticos
334610,Fabricación y reproducción de medios magnéticos y ópticos
335,"Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica"
3351,Fabricación de accesorios de iluminación
335110,Fabricación de focos
335120,Fabricación de lámparas ornamentales
3352,Fabricación de aparatos eléctricos de uso doméstico
335210,Fabricación de enseres electrodomésticos menores
335220,Fabricación de aparatos de línea blanca
3353,Fabricación de equipo de generación y distribución de energía eléctrica
335311,Fabricación de motores y generadores eléctricos
335312,Fabricación de equipo y aparatos de distribución de energía eléctrica
3359,Fabricación de otros equipos y accesorios eléctricos
335910,Fabricación de acumuladores y pilas
335920,Fabricación de cables de conducción eléctrica
335930,"Fabricación de enchufes, contactos, fusibles y otros accesorios para instalaciones eléctricas"
335991,Fabricación de productos eléctricos de carbón y grafito
335999,Fabricación de otros productos eléctricos
336,Fabricación de equipo de transporte
3361,Fabricación de automóviles y camiones
336110,Fabricación de automóviles y camionetas
336120,Fabricación de camiones y tractocamiones
3362,Fabricación de carrocerías y remolques
336210,Fabricación de carrocerías y remolques
3363,Fabricación de partes para vehículos automotores
336310,Fabricación de motores de gasolina y sus partes para vehículos automotrices
336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores
336330,Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices
336340,Fabricación de partes de sistemas de frenos para vehículos automotrices
336350,Fabricación de partes de sistemas de transmisión para vehículos automotores
336360,Fabricación de asientos y accesorios interiores para vehículos automotores
336370,Fabricación de piezas metálicas troqueladas para vehículos automotrices
336390,Fabricación de otras partes para vehículos automotrices
3364,Fabricación de equipo aeroespacial
336410,Fabricación de equipo aeroespacial
3365,Fabricación de equipo ferroviario
336510,Fabricación de equipo ferroviario
3366,Fabricación de embarcaciones
336610,Fabricación de embarcaciones
3369,Fabricación de otro equipo de transporte
336991,Fabricación de motocicletas
336992,Fabricación de bicicletas y triciclos
337,"Fabricación de muebles, colchones y persianas"
3371,"Fabricación de muebles, excepto de oficina y estantería"
337120,"Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería"
3372,Fabricación de muebles de oficina y estantería
337210,Fabricación de muebles de oficina y estantería
3379,"Fabricación de colchones, persianas y cortineros"
337910,Fabricación de colchones
337920,Fabricación de persianas y cortineros
339,Otras industrias manufactureras
3391,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos"
339111,"Fabricación de equipo no electrónico para uso médico, dental y para laboratorio"
339112,Fabricación de material desechable de uso médico
339113,Fabricación de artículos oftálmicos
3399,Otras industrias manufactureras
339912,Orfebrería y joyería de metales y piedras preciosos
339920,Fabricación de artículos deportivos
339930,Fabricación de juguetes
339940,"Fabricación de artículos y accesorios para escritura, pintura, dibujo y actividades de oficina"
339992,"Fabricación de cierres, botones y agujas"
339993,"Fabricación de escobas, cepillos y similares"
339994,Fabricación de velas y veladoras
339999,Otras industrias manufactureras
